Name of Scholarship,Deadline,Number of Awards,Maximum Amount,GPA,Affiliation,Age,College Program?,Category,Lic Type 1,Lic Type 2,Lic Type 3,Lic Type 4,Lic Type 5,Lic Type 6,Lic Type 7,Lic Type 8,Lic Type 9,Lic Type 10,,Female / Every / Minority ,Location,Link 
WASP Endowment Fund,December 19,1,Unknown,,Preference - Young Eagles,Any,Any,Flight Training,Solo,Private ,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
"Elgin Wells, Jr. Starjammer CFI Scholarship",December 19,1,Unknown,,Preference - Long Term CFI,Any,Any,Flight Training,,,,,,,Certified Flight Instructor,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
WomenSoar Scholarship,December 19,1,Unknown,,US Citizen Only,> 17 ,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Female,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Robert J. Ziegman Memorial Scholarship,December 19,1,Unknown,,,Any,Any,Flight Training,Solo,Private,Sport/Recreational,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,High Performance Endorsement,Complex Endorsement,Aerobatic Instruction,Tailwheel Endorsement,Every,"In/Around Lorain County, Ohio",https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
AAAE Scholarship for Native Americans,March 13,2,2000,>3.0,,Any,Aviation Program (Collegiate),Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://aaae.org/foundation
AAAE Aviaiton Management Scholarship,March 13,10,2000,>3.0,,,,,,,,,,,,,,,,,,
Air Line Pilot Association Scholarship,April 1,1,15000,,,Any,Must be attending college as an incoming freshman or in college towards a bachelors degree,Flight Training / Education,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://www.alpa.org/resources/alpa-scholarship-programs
Costas Sivyllis ALPA Education Scholarship,June 18,Multiple,1000 - 15000,,,Any,Must be attending a college program with an ALPA ACE Program,Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,"""Schools with ALPA ACE club - Arizona State University,Central Washington University,Embry-Riddle Aeronautical University Daytona Beach, Fla.
Embry-Riddle Aeronautical University Prescott, Ariz.
Florida Institute of Technology
Indiana State University
Lewis University
Louisiana Tech University
Lynn University
Mount Royal University
Oklahoma State University
Parks College of St. Louis University
Purdue University
Southern Illinois University
University of North Dakota
Western Michigan University""",https://www.alpa.org/resources/alpa-scholarship-programs
GRCF Joshua Esch Mitchell Aviation Scholarship - May be discontinued,April 1,2,1000,,,Any,,,,,,,,,,,,,,,,
Joseph Frasca Excellence in Aviation Scholarship,June 30,Multiple,2000,,,Any,UAA Member Institution ,Aviation Maintenance or Flight,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,UAA Member Institutions,http://uaa.aero/uaa_scholarships.php
Santa Rosa Ninety-Niners Aviation Scholarship,August 15,1,5000,,,Any,Flight Training,Flight Training,,,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Female,"150 miles of Santa Rosa, CA",https://www.santarosa99s.org/scholarship/
Chicago Area Business Aviation Association Scholarship,May 31,5,7500,,,Any,,,,,,,,,,,,,,,,
Ken Johnson Memorial Scholarship ,May 31,1,8000,,,Any,Aviation related field,aviation,,Private,,Instrument,Commercial ,Mult-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://www.cabaa.com/scholarships
CABAA Maintenance Committee Financial Scholarship,May 31,1,8000,,,Any,Aviation related field,aviation,,,,,,,,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
CABAA Collegiate Scholarship,May 31,1,8000,,,Any,Aviation related field,Aviation,,Private,,Instrument,Commercial ,Mult-Engine Rating,Certified Flight Instructor,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
CABAA General Financial Award,May 31,1,5000,,,Any,Business Aviation related field,Aviation,,Private,,Instrument,Commercial ,Mult-Engine Rating,Certified Flight Instructor,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
CABAA Professional Development Award,May 31,1,2000,,,Any,Any certificate for professional development,Not for flight training,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
Aircare FACTS Training Award,May 31,1,N/A,,,Any,Aircare FACTS Initial Training Program costs,FA Training,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
Northrop Aviation FAA DIspatcher,May 31,1,N/A,,,Any,FAA Dispatch Course Fee Covered - 6 week course,Dispatcher Training,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
Gogo/Satcom Direct aeroIT Certification,May 31,1,N/A,,,Any,Gogo/Satcom Direct aeroIT Certification - 4.5 day Course,Satcom Training,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
FlightSafety Principles of Troubleshooting Training Award,May 31,1,N/A,,,Any,FlightSafety Principles of Troubleshooting Training Award,FSI Award,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
FlightSafety and CAE Maintenance Professional Training Award,May 31,2,N/A,,,Any,FlightSafety or CAE Mx Initial Course - Citation,FSI/CAE Award to A&P Holders,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Chicagoland residents preference,https://www.cabaa.com/scholarships
FlightSafety and CAE Professional Pilot Training Award,May 31,2,22200,,,Any,FlightSafety or CAE Citation SIC Initial Course,FSI/CAE Award to CMEL holders,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Chicagoland residents preference,
CAE ATP-CTP Award,May 31,1,3000,,,Any,CAE ATP-CTP Course Cost,Flight training,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,Chicagoland residents preference,
Virginia Aviation Business Association Scholarship - Colgan Scholarship,May 30,1,2000,,,Any,High School/Technical School/Aviation College in Virginia,"Flight training, aviation school, aviation technical school",,Private,,Instrument,Commercial ,Mult-Engine Rating,Certified Flight Instructor,,,,,Every,Virginia Resident & VA School,https://www.thevaba.org/colgan-application
Virginia Aviation Business Association Scholarship - Graham Scholarship,PPD After COVID,,,,,Any,,,,,,,,,,,,,,,,https://www.thevaba.org/scholarship
Eugene S. Kropf Scholarship,June 1,1+,500,,,Any,UAA Member Institution - Aviation College,Flight training or aviation related with sophomore status,,Private,,Instrument,Commecial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,UAA Member Institution Schools,https://www.uaa.aero/uaa_scholarships.php
Technical Women's Organization Scholarship,Last was 2024?,5,500,,,Any,,,,,,,,,,,,,,,,
Navigate Your Future Scholarship,Last friday in June,1,2500,,,Any,Graduating Senior enrolled in an aviation college/university,Any field of study in aviation,,Private ,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,,
John Thomas Crouse Scholarship,June 30,1,7500,,,Any,,,,,,,,,,,,,,,,
Conklin and de Decker Business Aviation Management Scholarship,July 1,1,5000,,,Any,Enrolled in a business aviation program at a 2/4-year aviation school,business aviation,,N/A,,N/A,N/A,N/A,N/A,,,,,Every,,https://nbaa.org/professional-development/scholarships/conklin-de-decker/
James Sullivan Aviation Scholarship,August 12,1,5000,,,Any,Business aviation scholarship - preference to aviation maintenance,Flight training/business aviation/business aviation mx,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,,https://nbaa.org/professional-development/scholarships/james-sullivan-aviation-scholarship/
Susan Liebeler Milestone Award (Scholarship),May 15 & November 15,Up to 2,5000,,,Any,"N/A -Female Student Pilot out of Ventura County Airports (CMA, OXR, SZP, NTD)",Flight Training - Student Pilots with 5 hrs in last 90 days,,Private,,Instrument ,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Female,"Ventura County, CA Airports (CMA, OXR, SZP, NTD)",https://www.vc99s.org/content.aspx?page_id=22&club_id=649068&module_id=296062
Get Out of Your Comfort Zone (Scholarship,May 15,1,1000,,,Any,"N/A - Female Pilot out of Ventura County Airports (CMA, OXR, SZP, NTD) trying new aviation challeneges","Flight Training - Bravo Airspace, Narrow Runway ops, high altitude, spin training",,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Female,"Ventura County, CA Airports (CMA, OXR, SZP, NTD)",https://www.vc99s.org/content.aspx?page_id=22&club_id=649068&module_id=296063
Karen Johnson Advanced Scholarship,November 15,1,3000,,,Any,"N/A -Female Student Pilot out of Ventura County Airports (CMA, OXR, SZP, NTD)",Flight Training - Female Pilots seeking advanced flight training ,,N/A,,Instrument,Commercial,Multi-Engine Rating ,Certified Flight Instructor,,,,,Female,"Ventura County, CA Airports (CMA, OXR, SZP, NTD)",https://www.vc99s.org/content.aspx?page_id=22&club_id=649068&module_id=296062
Karen Johnson Solo Scholarship,June 1,1,3000,,,Any,"N/A, Female Student Pilot seeking flight training towards solo flight (Aged 16 - 20)",Flight Training - Solo flights,,Private,,N/A,N/A,N/A,N/A,,,,,Female,Any,https://www.vc99s.org/content.aspx?page_id=22&club_id=649068&module_id=452649
Eddie Queen Business Aviation Management Scholarship,Potentially Discontinued,1,2500,,,Any,,,,,,,,,,,,,,,,
https://nbaa.org/professional-development/scholarships/,,,,,,Any,,,,,,,,,,,,,,,,
Calvin L Carrithers Aviation Scholarship,August 15,4,1000,,,Any,"University Aviation program students - Aviation, Management, etc",Flight training - students must blog about their experiences at least once a week,,Private ,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://www.globalair.com/scholarships/
Tinker Murdock Scholarship,TBD- Still running,1,7500,,,Any,"N/A, internships also available",Flight training - Young Eagle or Next Step applicant,,Private ,,,,,,,,,,,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
Lawrence Ginocchio Aviation Scholarship,September 1,5,4500,,,Any,Full time or part time aviaiton management student ,Aviation Management Student - unclear if FT counts,,,,,,,,,,,,Every,Any,https://nbaa.org/professional-development/scholarships/ginocchio-aviation-scholarship/
Richard R. Harper Flight Training Scholarship,September 30,2,7500,,,Any,N/A - One Young Eagle & One Eagle Flight Student - 3.8 GPA+ with financial Need,Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://www.eaa.org/eaa/learn-to-fly/scholarships/eaa-flight-training-scholarships
UAA Janice K. Barden Aviation Scholarship,August 11,5,1000,,,Any,"Yes, NBAA or UAA Member School - Aviation Program, Rising Sophomore or Higher",Flight Training/Educational Costs,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://nbaa.org/professional-development/scholarships/barden-aviation-scholarship/
Regional Air Cargo Carrier Association Scholarship,August 15,4,2500,,,Any,"Yes, accredited collegiate aviation program with 3.0",Tuition/Flight Training for Pilots & FAA Mechanics,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,Every,Any,https://www.raccaonline.org/about-2
"The Al Worden ""Endeavour"" Scholarship",October 15,2,7000,,,Any,"N/A, 15 - 18 Year Olds Only","N/A, Stem experience for 15 - 18 year olds in Huntsville, AL",,N/A,,N/A,N/A,N/A,N/A,,,,,WAI Student Members (and Teachers),Any,https://www.wai.org/scholarship-listings
2026 Wings for Val Foundation Lieutenant Commander Lyndsay Evans Memorial Scholarship,October 15,1,10000,,,Any,"N/A, flight training but not associated with a college necessarily",Flight Training,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,WAI Members,Any (International as well),https://www.wai.org/scholarship-listings
Kylie Murray Memorial Women in Aviation International Scholarship,October 15,1,7500,,,Any,"N/A, but must demonstrate student athlete ability in high school, collegel, etc.",Flight Training,,N/A,,N/A,N/A,Multi-Engine Rating,MEI Only),,,,,WAI Members,Must complete at ATP Flight School,https://www.wai.org/scholarship-listings
The White Family Legacy Scholarship,October 15th,1,3000,,,Any,"N/A, Private Pilot, 100+ Hrs of flight time",Flight Training,,N/A,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,,,,,WAI Members,Any,https://www.wai.org/scholarship-listings
Juliana Turchetti Memorial Scholarship,October 15th,2,5000,,,Any,"N/A, Private Pilot",Flight Training,,N/A,,N/A,N/A,N/A,N/A,Seaplane Rating,,,,WAI Members,Any,https://www.wai.org/scholarship-listings
Republic Airways Dispatch Scholarship,October 15th,1,5000,,,Any,N/A,Dispatch Certificate Training,,N/A,,N/A,N/A,N/A,N/A,N/A,,,,WAI Members,Any,https://www.wai.org/scholarship-listings
Esther Noffke Flight Training Scholarship,October 15th,1,5000,,,Any,FLight Program or College/University,Flight Training or Aviation Degree,,Private,,Instrument,Commercial,Multi-Engine Rating,Certified Flight Instructor,Seaplane Rating,,,,WAI Members,Any,https://www.wai.org/scholarship-listings
Boeing Maintenance Training Scholarship,October 15th,1,7500,,,Any,Accredited Aviation Maintenance Program or College,Aviation Mx Training,,N/A,,N/A,N/A,N/A,N/A,N/A,,,,Female WAI Member,Any,https://www.wai.org/scholarship-listings
Boeing Flight Training Scholarship,October 15th,1,7500,,,Any,"N/A, If enrolled in school 3.0 GPA or Better","Flight Training towards private, sport, recreational, or instrument",,Private,Sport/Recreational,Instrument,N/A,N/A,N/A,N/A,,,,Female WAI Member,Any,https://www.wai.org/scholarship-listings
Anne Bridge Baddour Aviation Scholarship,October 15th,1,5000,,,Any,"N/A, Private Pilot 150+ Hours","Flight training, instrument, Multi-engine or ATP",,N/A,N/A,Instrument,N/A,Multi-Engine Rating,N/A,,Airline Transport Pilot,,,Female WAI Member,Any,https://www.wai.org/scholarship-listings